Course Code,Course Title
BCE101,Basic Civil Eng.
WSH101,Civil Workshop
SUR101,Surveying
MAT102,M2
SUR102,Survey Lab
BUI102,Building Materials Lab
FLM101,Fluid Mechanics
STR101,Structural Analysis
COT101,Concrete Technology
TRA101,Transportation Eng.
FLM102,Fluid Mechanics Lab
WAT101,Water Resources
GEO101,Geotechnical Eng.
ENV102,Environmental Eng.
PRM101,Project Management
GEO102,Geotechnical Lab
CON102,Construction Management
HYD101,Hydraulics
CON103,Construction Lab
STR102,Structural Dynamics
BRI101,Bridge Engineering
PLA101,Planning & Development
SUE101,Sustainable Engineering
ENV103,Environmental Impact
PRO101,Project
INT101,Internship
SEM101,Seminar
PRO102,Project Lab
INT102,Internship Lab
PHY103,Physics
PGL101,Programming Lab
OOP101,OOP
DBM102,DBMS Lab
SUB103,OS
DAA101,DAA
CON105,Computer Networks
THE101,Theory of Computation
NET101,Networks Lab
SUB104,SE
AIL101,AI Lab
SUB105,ML
SUB106,CC
COM102,Compiler Design
CYS101,Cyber Security
SEC101,Security Lab
SUB107,AI
DAT103,Data Science
DEE101,Deep Learning
DAT104,Data Science Lab
INT103,Internship
PRE102,Professional Ethics
INT104,Internship Lab
CIR101,Circuit Analysis
ELE107,Electrical Materials
MAT107,M1
PHY105,Physics
MAT108,Mathematics I
NET102,Network Theory
CHE102,Chemistry
DIG101,Digital Electronics
CON106,Control Systems
DIG102,Digital Electronics Lab
PWS102,Power Systems Lab
POW101,Power Electronics
MPR101,Microprocessors
VLS101,VLSI Design
SIP101,Signal Processing
POW102,Power Electronics Lab
REE101,Renewable Energy
HIG103,High Voltage Eng.
POW103,Power Plant Eng.
SMA101,Smart Grid
EMS101,Embedded Systems
WIR101,Wireless Communication
SIP102,Digital Signal Processing
PRO105,Project Work
EMS102,Embedded Systems Lab
DSP101,DSP Lab
CON107,Controls Lab
ENE102,Energy Lab
INT105,Internship
ELE114,Elective 1
ELE115,Elective 2
PRO107,Project Lab
CIR102,Circuit Theory
ANA101,Analog Electronics
DIG103,Digital Logic
MAT113,M2
MAT114,Mathematics II
CHE103,Chemistry
LOG101,Logic Lab
MPR102,Microprocessors
SIG101,Signals & Systems
MIC102,Microprocessor Lab
COM105,Communication Lab
RFE101,RF Engineering
SIP104,Signal Processing Lab
VLS103,VLSI Testing
IMP102,Image Processing Lab
NAN102,Nano Lab
IOT101,IoT
CYS102,Cyber Security
RES101,Research Project
IOT102,IoT Lab
MLL102,ML Lab
VLS104,Advanced VLSI Design
BIO101,Biomedical Electronics
PRE104,Professional Ethics
VLS105,VLSI Lab
BIO102,Biomedical Lab
ELE119,Elective 2
INT108,Internship Lab
WSH105,Workshop Technology
PHY109,Physics
WSH106,Mechanical Workshop
MAT117,M2
THD102,Thermodynamics Lab
MAN101,Manufacturing Processes
MCD102,Machine Design Lab
ICE101,IC Engines
RFR101,Refrigeration
INE101,Industrial Engineering
AUT101,Automation
ICE102,IC Engines Lab
AUT102,Automation Lab
MEC101,Mechatronics
ROB101,Robotics
MAT120,Material Science
PRM103,Project Management
ADM101,Advanced Manufacturing
AUE101,Automobile Engineering
RES102,Research Project
PRO110,Production Planning
PRE105,Professional Ethics
VIB102,Vibration Lab
PRO111,Project
INT109,Internship
ELE120,Elective 1
ELE121,Elective 2
INT110,Internship Lab
