Course Code,Course Title,Credits
PHY102,Physics Lab,4
SUR102,Survey Lab,3
BUI102,Building Materials Lab,3
FLM102,Fluid Mechanics Lab,3
CON101,Concrete Lab,4
WAT102,Water Lab,4
GEO102,Geotechnical Lab,3
CON103,Construction Lab,3
HIG102,Highway Lab,4
SOI102,Soil Testing Lab,4
BRI102,Bridge Lab,4
DEV101,Development Lab,4
CON104,Concrete Tech Lab,4
DES102,Design Lab,4
PRO102,Project Lab,3
INT102,Internship Lab,3
PHY104,Physics Lab,4
WSH103,Workshop Lab,4
ELE104,Electrical Lab,4
PGL101,Programming Lab,3
OOP102,OOP Lab,4
DBM102,DBMS Lab,3
OSL101,OS Lab,4
NET101,Networks Lab,3
AIL101,AI Lab,3
MLL101,ML Lab,4
CLO101,Cloud Lab,4
SEC101,Security Lab,3
BIG102,Big Data Lab,4
DAT104,Data Science Lab,3
PRO104,Project Lab,4
INT104,Internship Lab,3
PHY106,Physics Lab,4
ELE109,Electronics Lab,4
NET103,Network Lab,4
DIG102,Digital Electronics Lab,3
PWS102,Power Systems Lab,3
POW102,Power Electronics Lab,3
MIC101,Microprocessor Lab,4
DRI101,Drives Lab,4
REE102,Renewable Energy Lab,4
EMS102,Embedded Systems Lab,3
DSP101,DSP Lab,3
CON107,Controls Lab,3
ENE102,Energy Lab,3
PRO107,Project Lab,3
INT106,Internship Lab,4
PHY108,Physics Lab,4
ELE117,Electronics Lab,4
LOG101,Logic Lab,3
DIG104,Digital Lab,4
MIC102,Microprocessor Lab,3
COM105,Communication Lab,3
EMS104,Embedded Systems Lab,4
SIP104,Signal Processing Lab,3
IMP102,Image Processing Lab,3
NAN102,Nano Lab,3
IOT102,IoT Lab,3
MLL102,ML Lab,3
VLS105,VLSI Lab,3
BIO102,Biomedical Lab,3
PRO109,Project Lab,4
INT108,Internship Lab,3
PHY110,Physics Lab,4
THD102,Thermodynamics Lab,3
MAT119,Materials Lab,4
FLM104,Fluid Mechanics Lab,4
MCD102,Machine Design Lab,3
ICE102,IC Engines Lab,3
AUT102,Automation Lab,3
CAD102,CAD Lab,4
ROB102,Robotics Lab,4
AUT103,Automobile Lab,4
ENE103,Energy Lab,4
THE103,Thermal Lab,4
VIB102,Vibration Lab,3
PRO112,Project Lab,4
INT110,Internship Lab,3
