Course Title,Marks,GPA,Semester
Engineering Drawing,74,7.457142857142857,1
Basic Civil Eng.,81,7.457142857142857,1
M1,57,7.457142857142857,1
Physics,70,7.457142857142857,1
Chemistry,87,7.457142857142857,1
Physics Lab,70,7.457142857142857,1
Civil Workshop,83,7.457142857142857,1
Surveying,70,7.457142857142857,2
Building Materials,65,7.457142857142857,2
M2,94,7.457142857142857,2
Mathematics II,73,7.457142857142857,2
Environmental Science,83,7.457142857142857,2
Survey Lab,83,7.457142857142857,2
Building Materials Lab,54,7.457142857142857,2
